Producto,Unidad,Stock,Costo unit.,Costo total
ACEITE FREIDORA,ML,0,8,0
ACEITE GIRASOL,ML,0,16,0
ACEITE OLIVA,ML,0,60,0
ACHIRAS,GR,0,60,0
AGUACATE,Unidad,0,4000,0
AHUYAMA,GR,0,3,0
AJI,GR,0,15,0
AJO,GR,0,14500,0
AJO CABEZA,GR,0,30,0
ALBAHACA,GR,0,80,0
ALIOLI TRUFADO,GR,0,7500,0
ALMENDRA LAMINADA,GR,0,28,0
ALMOHAJABANA,GR,0,23,0
ALMOJABANA,GR,0,12400,0
APIO RAMA,GR,0,4,0
ARANDANOS DESHIDRATADOS,GR,0,42,0
AREPA AMARILLA,Unidad,0,1100,0
AROS DE CEBOLLA,GR,0,52,0
ARRACACHA,GR,0,6,0
ARROZ,GR,0,5,0
ARVEJA MUTE,GR,0,12,0
AZUCAR,GR,0,4,0
BOCADILLO,GR,0,7,0
BONDIOLA,GR,0,22,0
CAFE,GR,0,206,0
CAMARON,GR,0,7000,0
CAMARONES,GR,0,50,0
CARBON,GR,0,30,0
CARNE ASADA,GR,0,2600,0
CARNE BURGUER,GR,0,15700,0
CARNE DE BURGUER,GR,0,15700,0
CARNE DE SUDAR,GR,0,26,0
CARNE DESMECADA,GR,0,3400,0
CARNE DESMECHADA,GR,0,14800,0
CARNE MOLIDA,GR,0,23,0
CARNE PARA ASAR,GR,0,32,0
CEBOLLA,GR,0,11400,0
CEBOLLA CABEZONA BLANCA,GR,0,6,0
CEBOLLA CABEZONA ROJA,GR,0,4,0
CEBOLLA CARAMELIZADA,GR,0,15400,0
CEBOLLA LARGA,GR,0,13,0
CEBOLLA OCAÑERA,GR,0,5800,0
CEBOLLITAS OCAÑERAS,GR,0,54,0
CERVEZA,ML,0,4100,0
CHAMPIÑONES,GR,0,20,0
CHANTILLI,GR,0,1800,0
CHATAS,GR,0,36,0
CHICHARRON,GR,0,4700,0
CHIMICHURRI,GR,0,14500,0
CHOCOLATE CORONA,GR,0,34,0
CHORIZO SANTA ROSANO,Unidad,0,8200,0
CHORIZO SANTAROSANO,Unidad,0,1875,0
CHUCRUT DE REPOLLO,GR,0,9600,0
chunchulla,GR,0,16,0
CHUTNEY DE TOMATE Y TOCINETA,GR,0,6600,0
CILANTRO,GR,0,10,0
COGOLLO,GR,0,28,0
COSTILLA,GR,0,22,0
CREMA DE LECHE,ML,0,18,0
CREMA LEÑA,GR,0,27,0
CROTONES,GR,0,35,0
CROUTONES,GR,0,11300,0
CUAJADA,GR,0,26,0
EMPANADAS,Unidad,0,1321,0
ENSALADA,GR,0,5400,0
FETTUCCINE,GR,0,12600,0
FETUCCINI,GR,0,13,0
FLORES COMESTIBLES,GR,0,117,0
FRESA,GR,0,5,0
FRIJOL,GR,0,4700,0
FRIJOL MUTE,GR,0,16,0
GALLETA SALTIN,Unidad,0,14000,0
GALLETAS DUCALES,Unidad,0,5000,0
GALLETAS SALTIN,Unidad,0,2500,0
GARBANZOS,GR,0,12,0
GERMINADOS,GR,0,75,0
